accountType|accountNumber|seniorAccountNumber|invoice_no|bill_date|debit|credit
A2|42532599|42532598|870436862|2017-06-10|0|0
A2|43324251|43324250|832419886|2017-04-29|0|0
A2|43324251|43324250|859755014|2017-05-29|0|0
A2|43325835|43325834|832419938|2017-04-29|0|0
A2|43325835|43325834|859755033|2017-05-29|0|0
A3|42533009|42533007|870436986|2017-06-10|0|0
A2|43325222|43325221|832419925|2017-04-29|0|0
A2|43325222|43325221|859755027|2017-05-29|0|0
A3|42533699|42533698|870436999|2017-06-10|0|0
A2|41697059|41697056|823692728|2017-04-16|0|0
A2|41697059|41697056|847438969|2017-05-16|0|0
A2|42542137|42542136|809341046|2017-04-11|0|0
A2|42542137|42542136|841541896|2017-05-11|0|0
A2|42542137|42542136|871283882|2017-06-11|0|0
A2|43610171|43610170|826061255|2017-04-17|0|0
A2|43610171|43610170|848209223|2017-05-17|0|0
A2|41697135|41697133|823693417|2017-04-16|0|0
A2|41697135|41697133|847439122|2017-05-16|0|0
A3|43610172|43610171|868496109|2017-06-07|3.46|3.46
A3|43610172|43610171|870358191|2017-06-09|3.46|3.46
A2|43610141|43610140|826061234|2017-04-17|0|0
A2|43610141|43610140|848209215|2017-05-17|0|0
A2|43610276|43610275|826061379|2017-04-17|0|0
A2|43610276|43610275|848209259|2017-05-17|0|0
A3|42542138|42542137|871283887|2017-06-11|0|0
A2|43610644|43610643|826061728|2017-04-17|0|0
A2|43610644|43610643|848209367|2017-05-17|0|0
A2|43332844|43332843|832630823|2017-04-30|0|0
A2|43332844|43332843|860672258|2017-05-30|0|0
A3|42544730|42544729|871284101|2017-06-11|0|0
A2|41698278|41698277|823694204|2017-04-16|0|0
A2|41698278|41698277|847439337|2017-05-16|0|0
A2|41270432|41270431|826662297|2017-04-18|0|0
A2|41270432|41270431|849038581|2017-05-18|0|0
A2|42327020|42327019|832156163|2017-04-28|0|0
A2|42327020|42327019|858704859|2017-05-28|0|0
A2|42544907|42544906|809341297|2017-04-11|0|0
A2|42544907|42544906|841542338|2017-05-11|0|0
